created_at,hashtags,favorite_count,id,lang,retweet_count,reweet_id,retweet_screen_name,text,tweet_url,user_screen_name,user_followers_count,user_friends_count,user_location,user_verified
Thu Apr 23 00:00:06 +0000 2020,,0,1253111369597095936,en,1,1253099520323436549,mattlabelle,"RT @mattlabelle: My mom has Noahs toddler bed all good to go once social distancing is over.

All she needs now is TML bedsheets and wel",https://twitter.com/NanananaBrown/status/1253111369597095936,NanananaBrown,1006,982,"Toronto, Ontario",false
Thu Apr 23 00:00:06 +0000 2020,,0,1253111369072869381,en,72,1253096832923774977,Porsche,"RT @Porsche: We finished the race strong. Thanks to generous bidders, our 911 Speedster auction raised $500,000. Porsche is adding to that",https://twitter.com/runcoachphil/status/1253111369072869381,runcoachphil,1023,87,"Ottawa, Canada",false
Thu Apr 23 00:00:10 +0000 2020,Covid19,0,1253111386198233089,en,16,1253044062464114688,CityCynthia,"RT @CityCynthia: Updated number on #Covid19 spread in Long Term Care homes: 127 outbreaks, 1,985 residents infected and 957 staff have test",https://twitter.com/brmf_rm/status/1253111386198233089,brmf_rm,4599,4385,"Ontario, Canada",false
Thu Apr 23 00:00:10 +0000 2020,,0,1253111386554732546,en,47,1253092511511457793,CityCynthia,"RT @CityCynthia: This photo is heartbreaking, absolutely heartbreaking.  ",https://twitter.com/angelasaysmile/status/1253111386554732546,angelasaysmile,242,331,"Ontario, Canada",false
Thu Apr 23 00:00:17 +0000 2020,,0,1253111415927431168,en,301,1253080960247173130,joncoopertweets,RT @joncoopertweets: Good God. @mayoroflasvegas has got to be the STUPIDEST mayor in the country. But she's not stupid enough to put her OW,https://twitter.com/fugazidrumpf/status/1253111415927431168,fugazidrumpf,17,65,Montreal,false
Thu Apr 23 00:00:26 +0000 2020,,0,1253111453218897928,en,53,1252994260116348928,tylerwatt90,RT @tylerwhat16: Fantastic news for post-secondary students! Prime Minister @JustinTrudeau announced new $9 billion Canada Emergency Studen,https://twitter.com/SteveCoville/status/1253111453218897928,SteveCoville,1674,2213,"Kingston, Ontario",false
Thu Apr 23 00:00:41 +0000 2020,,0,1253111515751866371,en,22,1253035761080971265,OslerHealth,"RT @OslerHealth: To ensure our highly-skilled frontline staff are working where they are needed most in our hospitals, we have decided to t",https://twitter.com/Temovon99/status/1253111515751866371,Temovon99,147,331,"Caledon,Ontario",false
Thu Apr 23 00:00:42 +0000 2020,,0,1253111519862087680,en,174,1253086577108058112,sbg1,"RT @sbg1: Dr. Trump has now said multiple times that 'there is a very good chance covid doesn't come back' in the fall.

This is not, as fa",https://twitter.com/ConradKnauer/status/1253111519862087680,ConradKnauer,1102,1457,"Saskatoon, SK, Canada",false
Thu Apr 23 00:00:45 +0000 2020,,0,1253111533254709253,en,24,1253107605360254977,WestWingReport,"RT @WestWingReport: By know everyone (other than the most die-hard members of the Trump cult) knows his claim of hiring only ""the best"" is",https://twitter.com/adeleatplay/status/1253111533254709253,adeleatplay,656,699,"Ontario, Canada",false
Thu Apr 23 00:00:46 +0000 2020,,0,1253111536786309121,en,25463,1253084269347561474,DonaldJTrumpJr,RT @DonaldJTrumpJr: After the pandemic passes and we can fire up our economic engine Im truly looking forward to watching @realDonaldTrump,https://twitter.com/mandof5_dan/status/1253111536786309121,mandof5_dan,256,214,"Timmins, Ontario",false
Thu Apr 23 00:00:48 +0000 2020,Trump StephenMoore,0,1253111545690820613,en,87,1252970147842863105,mog7546,"RT @mog7546: #Trump Advisor #StephenMoore ORGANIZED Coronavirus LOCKDOWN PROTEST

Moore claimed that the unidentified donor told him, I pr",https://twitter.com/JanRavensbergen/status/1253111545690820613,JanRavensbergen,1595,4969,"Montreal, Quebec, CANADA",false
