created_at,hashtags,favorite_count,id,lang,retweet_count,reweet_id,retweet_screen_name,text,tweet_url,user_screen_name,user_followers_count,user_friends_count,user_location,user_verified
Thu Apr 23 00:00:01 +0000 2020,,0,1253111348780830723,en,0,,,"@DrTedros
WHO stands for Wuhan Health Organization. We don't buy their argument. https://t.co/x2yTAIUWPQ",https://twitter.com/YoungdoungT/status/1253111348780830723,YoungdoungT,18,137,"Toronto, Ontario",false
Thu Apr 23 00:00:07 +0000 2020,,0,1253111373296525320,en,0,,,Two Cats Are First U.S. Pets to Test Positive for Coronavirus - The New York Times - https://t.co/whkJ70rCg0,https://twitter.com/debruning/status/1253111373296525320,debruning,6431,6596,"Victoria, BC",false
Thu Apr 23 00:00:06 +0000 2020,,0,1253111369618030593,en,0,,,"Las Vegas Mayor, Citing Polio, Wants to Open Casinos as a ""Test Case""  https://t.co/dSGgTok5Yk",https://twitter.com/ExtremeDeals81/status/1253111369618030593,ExtremeDeals81,1961,1723,"toronto, ontario",false
Thu Apr 23 00:00:11 +0000 2020,nature animals pandemic,97,1253111390136610818,en,23,,,"Disrespect for #nature and #animals caused the #pandemic, says @JaneGoodallInst. Do you agree?
https://t.co/dFxlrpJrRU",https://twitter.com/livekindlyco/status/1253111390136610818,livekindlyco,28030,4685,Vancouver,false
Thu Apr 23 00:00:11 +0000 2020,UK Whitty,0,1253111390413320192,en,0,,,"#UK will need social distancing until at least end of year, says #Whitty 

https://t.co/31kRhoyqZj",https://twitter.com/wavetop/status/1253111390413320192,wavetop,3428,4988,Vancouver,false
Thu Apr 23 00:00:15 +0000 2020,,1,1253111407018684416,en,3,,,"Earlier this month, bestselling author Template Grandin provided some great tips to help kids with autism cope during the coronavirus quarantine. If you're a fan of Temple, we encourage you to give the article below a read!
 https://t.co/2JRQK2hVYZ",https://twitter.com/sinneave/status/1253111407018684416,sinneave,443,172,"Calgary, Alberta",false
Thu Apr 23 00:00:16 +0000 2020,,4,1253111410718134272,en,1,,,"@GailYentaBeck, what a  compliment to educators @McHughEduCentre  -We have been inspired by your example @TheRoyalMHC  + our MH partners @cheo @ysb_bsj @OttawaCas @DaveSmithYouth @YouvilleCentre @CrossroadCentre @rsc_crs @ocdsb @OttCatholicSB @MsCoatesClass https://t.co/1xIcnWlvZj",https://twitter.com/BarbaraMcinnes/status/1253111410718134272,BarbaraMcinnes,677,1425,"Ottawa, Ontario",false
Thu Apr 23 00:00:17 +0000 2020,SorryNotSorry,6,1253111415449235456,en,3,,,@Tanster1402 @LINZEE1969 Someone told me you wanted a social distancing meme. My brain created this PSA for you instead. #SorryNotSorry https://t.co/Hf3jMvRbJH,https://twitter.com/AKPeanut/status/1253111415449235456,AKPeanut,80,306,"Toronto, Ontario, Canada",false
Thu Apr 23 00:00:21 +0000 2020,,0,1253111432415068160,en,0,,,Lets follow Las Vegas https://t.co/bpkaE3Moj4,https://twitter.com/Winnie1986/status/1253111432415068160,Winnie1986,103,119,Edmonton,false
Thu Apr 23 00:00:29 +0000 2020,toronto COVID19,0,1253111465336287241,en,0,,,"Shopping safely: The challenges of managing a grocery store in #toronto amid #COVID19

https://t.co/HhDcrQmeSL via @CBCNews",https://twitter.com/AreYouHurtca/status/1253111465336287241,AreYouHurtca,698,929,"Ontario, Canada",false
Thu Apr 23 00:00:30 +0000 2020,,0,1253111469262200833,en,0,,,"$143,000 in research grants have been provided to 21 COVID-19 research projects in Windsor-Essex. https://t.co/q04u1FLwIS https://t.co/RpsjOqacJX",https://twitter.com/BlackburnEssex/status/1253111469262200833,BlackburnEssex,12758,1008,"Windsor, Ontario",false
Thu Apr 23 00:00:33 +0000 2020,COVIDOntario LongTermCare COVID19 NursingHomes Coronavirus onpoli snrtg,1,1253111482293895169,en,0,,,Ontario planning to test all nursing-home residents for COVID-19 | The Star https://t.co/AkicNDtgJD #COVIDOntario #LongTermCare #COVID19 #NursingHomes #Coronavirus #onpoli #snrtg,https://twitter.com/ap236/status/1253111482293895169,ap236,990,802,"Barrie, Ontario, Canada",false
Thu Apr 23 00:00:33 +0000 2020,,33,1253111481610252288,en,10,,,"Join Thursday's SciComm Story Time @ 2pm eastern with the incredible @Astropartigirl! Sophia Gad-Nasr, she's studying cosmology and astroparticle physics at UC Irvine focusing on dark matter and has hamsters she names after subatomic particles!

https://t.co/5O9LWHEn7X https://t.co/RiH3iNM9iE",https://twitter.com/EBTSOYP/status/1253111481610252288,EBTSOYP,4916,3889,"Guelph, Ontario",false
Thu Apr 23 00:00:35 +0000 2020,marketing marketingtips marketingstrategy marketingplan digitalmarketing,0,1253111490728656898,en,1,,,"Looking for ways to evolve your marketing strategy during COVID-19? We made a list of some takeaways you should consider to help transform your business digital marketing.

https://t.co/vvk4bWusF9 

#marketing #marketingtips #marketingstrategy #marketingplan #digitalmarketing",https://twitter.com/MarkovateAgency/status/1253111490728656898,MarkovateAgency,401,446,"Toronto, ON, CA, M6K 1X9",false
Thu Apr 23 00:00:45 +0000 2020,,5,1253111533267226627,en,0,,,100% with Charlie on this (and many other issues). https://t.co/OLsAXyt6IH,https://twitter.com/BarneyTOronto/status/1253111533267226627,BarneyTOronto,335,731,"Toronto, Ontario",false
