coordinates,created_at,hashtags,media,urls,favorite_count,id,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,lang,place,possibly_sensitive,retweet_count,reweet_id,retweet_screen_name,source,text,tweet_url,user_created_at,user_screen_name,user_default_profile_image,user_description,user_favourites_count,user_followers_count,user_friends_count,user_listed_count,user_location,user_name,user_screen_name,user_statuses_count,user_time_zone,user_urls,user_verified
,Thu Apr 23 00:00:00 +0000 2020,,,https://www.spokesman.com/stories/2020/apr/21/washington-idaho-colleges-to-receive-281-million-f/,7,1253111343638600000,,,,en,,FALSE,2,,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Colleges and universities in Washington and Idaho are expected to receive about $281 million from a federal stimulus package aimed at dampening the economic impact of the COVID-19 pandemic. https://t.co/yHvHJH6MuY,https://twitter.com/SpokesmanReview/status/1253111343638609922,Mon Apr 09 19:11:24 +0000 2007,SpokesmanReview,FALSE,"The region’s only daily newspaper, covering news, sports and life in Eastern Washington and North Idaho since 1883.",1366,59575,1495,943,"Spokane, WA",SpokesmanReview,SpokesmanReview,59531,,http://www.spokesman.com,FALSE
,Thu Apr 23 00:00:01 +0000 2020,EarthDay FlattenTheCurve COVID19 NYPHeroes Solidarityat8,https://twitter.com/nyphospital/status/1253111347614752769/photo/1,,53,1253111347614750000,,,,en,,FALSE,12,,,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","This #EarthDay, we strive to do better for our planet. As we all come together to #FlattenTheCurve against #COVID19, we thank our brave #NYPHeroes who are doing their part to make the world a safer place. #Solidarityat8 https://t.co/IiMvT5f3qY",https://twitter.com/nyphospital/status/1253111347614752769,Tue Jun 07 19:08:20 +0000 2011,nyphospital,FALSE,"Proud to be the #4 hospital in the nation and #1 in #NewYork, according to the @usnews survey of #BestHospitals.",13901,48835,4487,630,"New York, NY",NewYork-Presbyterian,nyphospital,24946,,http://nyp.org,TRUE
,Thu Apr 23 00:00:00 +0000 2020,CODVID19 coronovirus scifi amazonbooks,https://twitter.com/MediaTLF/status/1253111342921207808/video/1,https://amazon.com/PHANTOM-APOCALYPSE-Dystopian-Jon-Kofas-ebook/dp/B07SLZLC4Q/ref=sr_1_1?keywords=jon+kofas&qid=1563635435&s=gateway&sr=8-1,0,1253111342921200000,,,,en,,FALSE,1,,,"<a href=""https://ads-api.twitter.com"" rel=""nofollow"">Twitter for Advertisers (legacy)</a>","Written before #CODVID19 #coronovirus happened.
""Dr. Stein believes that the solution to the pandemic in late 22nd century America rests with his experiment..."" (link: https://t.co/9CJdBQUHBL………………………………………) #scifi #amazonbooks https://t.co/e63YBcV3Iu",https://twitter.com/MediaTLF/status/1253111342921207808,Mon May 30 18:54:55 +0000 2016,MediaTLF,FALSE,"A media company that publishes and distributes books worldwide, in digital and paper. 
https://t.co/H5SJk8brIh",323,13986,13945,180,"New York, USA",The Little French's Media,MediaTLF,12119,,http://www.thelittlefrenchebookstore.com,FALSE
,Thu Apr 23 00:00:00 +0000 2020,LigaMX,,https://chivaspasion.bolavip.com/ligamx/Diario-Record-reporta-escenario-con-fecha-estimada-para-un-posible-regreso-de-la-Liga-MX-en-pandemia-de-coronavirus-20200422-0008.html,2,1253111343693130000,,,,es,,FALSE,0,,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","🐐🔥 Solo faltaría una aprobación para que la #LigaMX pudiera retomar este Clausura 2020

https://t.co/Yj78KbUZn3",https://twitter.com/RebanoPasion/status/1253111343693135879,Mon Aug 31 14:38:21 +0000 2009,RebanoPasion,FALSE,"Sitio no oficial del Guadalajara creado por y para los aficionados. Actualidad, historia, color y más. Partidos minuto a minuto. Más de un millón en Facebook.",16457,38877,56,100,Guadalajara,Rebaño Pasión,RebanoPasion,33281,,https://chivaspasion.bolavip.com/,TRUE
,Thu Apr 23 00:00:01 +0000 2020,,,,0,1253111349040650000,,,,en,,,4,1.25276E+18,StephenNP,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @StephenNP: Also look first into the nares to check for obstruction such as a deviated septum and choose the side with the most patency.…,https://twitter.com/KirklandWalsh/status/1253111349040656384,Wed Jun 17 20:00:19 +0000 2015,KirklandWalsh,FALSE,"PhD, FNP-c, GNP-c, specializing in wounds, documentation, Leadership, community partnerships, obesity, weight loss, aging",33451,720,2171,69,,Holly Kirkland-Walsh,KirklandWalsh,95463,,,FALSE
,Thu Apr 23 00:00:00 +0000 2020,,https://twitter.com/winknews/status/1253111342283649026/photo/1,https://bit.ly/34XCLO5,1,1253111342283640000,,,,en,,FALSE,0,,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Crime doesn’t take a break for a pandemic: Coast Guard, FBI still busy // https://t.co/PxhZDO1hlK https://t.co/AsBjb1k4b2",https://twitter.com/winknews/status/1253111342283649026,Tue Sep 16 06:30:50 +0000 2008,winknews,FALSE,Southwest Florida's News Leader. Have a news tip? Let us know: tips@winknews.com,6870,89492,688,657,"Fort Myers, Fla.",WINK News,winknews,95628,,,FALSE
,Thu Apr 23 00:00:00 +0000 2020,BieberMexicoConcert,,https://twitter.com/ibeliebersmx/status/1253110556090908672,0,1253111343567240000,,,,es,,FALSE,0,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Creo que me pondré mi corona de flores para sentirme la OLLG  de la noche #BieberMexicoConcert https://t.co/kO11cyP4Au,https://twitter.com/gyuleud/status/1253111343567249410,Wed Oct 10 22:33:42 +0000 2012,gyuleud,FALSE,"Viva la Revolución 🌹 Sonamoo, Seventeen, BAE173💕 Pentagon, TREASURE, CIX,IZ*One, blackpink, RV🌸 ✨I love Thai Boys 23/09/2020",69281,1186,1673,16,Mexico,Karen ⚡️ SPARK✨MMM,gyuleud,69457,,https://gyuleud.carrd.co/,FALSE
,Thu Apr 23 00:00:01 +0000 2020,,,,2,1253111348407320000,inminivanhell,1.25308E+18,4675061922,en,,,1,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","@inminivanhell And when their kids get corona virus from drooling on each other ?
We didn't know ?",https://twitter.com/kate_barrel/status/1253111348407328768,Mon Dec 04 21:42:59 +0000 2017,kate_barrel,FALSE,"Books, the outdoors. Community .Gone with the fairies. Not ready for this. Not so good at internetting. Coffee always first.Haircuts=overrated ,turns out",7171,69,98,0,Location Location,Kate Barrel 🌊,kate_barrel,4240,,,FALSE
,Thu Apr 23 00:00:00 +0000 2020,A24,https://twitter.com/HYPEBEAST/status/1253111343605075969/photo/1,,157,1253111343605070000,,,,en,,FALSE,28,,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","#A24 is auctioning off some iconic props &amp; wardrobe from 'Uncut Gems', 'Midsommar' &amp; more. 100% of the proceeds will go to benefit NYC’s workers and families impacted by the COVID-19 crisis.
Photo: A24 https://t.co/SejdIGG8ye",https://twitter.com/HYPEBEAST/status/1253111343605075969,Sun Dec 21 15:54:27 +0000 2008,HYPEBEAST,FALSE,Driving Culture Forward,3529,738061,100,4944,,HYPEBEAST,HYPEBEAST,154325,,http://hypebeast.com,TRUE
,Thu Apr 23 00:00:00 +0000 2020,,,https://cnycentral.com/news/local/teen-runaway-house-in-syracuse-changing-operations-to-protect-against-covid-19,1,1253111343709920000,,,,en,,FALSE,0,,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","The Salvation Army in Syracuse’s Booth House is a place for runaway teenagers to live when going through struggling times, but new precautions are in place to ensure public health and safety.
https://t.co/S71xQlw1i6",https://twitter.com/CNYCentral/status/1253111343709925377,Wed Feb 11 21:24:27 +0000 2009,CNYCentral,FALSE,"CNYCentral is your source for news, weather, entertainment & sports in Syracuse & Central New York on NBC3/WSTM, CBS5/WTVH & CW6/WSTQ.",9106,82997,989,713,Central New York,CNYCentral,CNYCentral,124971,,http://www.cnycentral.com/,TRUE
