city,province_id,province_name
toronto,on,ontario
montreal,qc,quebec
vancouver,bc,british columbia
calgary,ab,alberta
edmonton,ab,alberta
ottawa,on,ontario
mississauga,on,ontario
winnipeg,mb,manitoba
quebec city,qc,quebec
hamilton,on,ontario
brampton,on,ontario
surrey,bc,british columbia
kitchener,on,ontario
laval,qc,quebec
halifax,ns,nova scotia
london,on,ontario
victoria,bc,british columbia
markham,on,ontario
st. catharines,on,ontario
niagara falls,on,ontario
vaughan,on,ontario
gatineau,qc,quebec
windsor,on,ontario
saskatoon,sk,saskatchewan
longueuil,qc,quebec
burnaby,bc,british columbia
regina,sk,saskatchewan
richmond,bc,british columbia
richmond hill,on,ontario
oakville,on,ontario
burlington,on,ontario
barrie,on,ontario
oshawa,on,ontario
sherbrooke,qc,quebec
saguenay,qc,quebec
levis,qc,quebec
kelowna,bc,british columbia
abbotsford,bc,british columbia
coquitlam,bc,british columbia
trois-rivieres,qc,quebec
guelph,on,ontario
cambridge,on,ontario
whitby,on,ontario
ajax,on,ontario
langley,bc,british columbia
saanich,bc,british columbia
terrebonne,qc,quebec
milton,on,ontario
st. john's,nl,newfoundland and labrador
moncton,nb,new brunswick
thunder bay,on,ontario
dieppe,nb,new brunswick
waterloo,on,ontario
delta,bc,british columbia
chatham,on,ontario
red deer,ab,alberta
kamloops,bc,british columbia
brantford,on,ontario
cape breton,ns,nova scotia
lethbridge,ab,alberta
saint-jean-sur-richelieu,qc,quebec
clarington,on,ontario
pickering,on,ontario
nanaimo,bc,british columbia
sudbury,on,ontario
north vancouver,bc,british columbia
brossard,qc,quebec
repentigny,qc,quebec
newmarket,on,ontario
chilliwack,bc,british columbia
white rock,bc,british columbia
maple ridge,bc,british columbia
peterborough,on,ontario
kawartha lakes,on,ontario
prince george,bc,british columbia
sault ste. marie,on,ontario
sarnia,on,ontario
wood buffalo,ab,alberta
new westminster,bc,british columbia
chateauguay,qc,quebec
saint-jerome,qc,quebec
drummondville,qc,quebec
saint john,nb,new brunswick
caledon,on,ontario
st. albert,ab,alberta
granby,qc,quebec
medicine hat,ab,alberta
grande prairie,ab,alberta
st. thomas,on,ontario
airdrie,ab,alberta
halton hills,on,ontario
saint-hyacinthe,qc,quebec
lac-brome,qc,quebec
port coquitlam,bc,british columbia
fredericton,nb,new brunswick
blainville,qc,quebec
aurora,on,ontario
welland,on,ontario
north bay,on,ontario
beloeil,qc,quebec
belleville,on,ontario
mirabel,qc,quebec
shawinigan,qc,quebec
dollard-des-ormeaux,qc,quebec
brandon,mb,manitoba
rimouski,qc,quebec
cornwall,on,ontario
stouffville,on,ontario
georgina,on,ontario
victoriaville,qc,quebec
vernon,bc,british columbia
duncan,bc,british columbia
saint-eustache,qc,quebec
quinte west,on,ontario
charlottetown,pe,prince edward island
mascouche,qc,quebec
west vancouver,bc,british columbia
salaberry-de-valleyfield,qc,quebec
rouyn-noranda,qc,quebec
timmins,on,ontario
sorel-tracy,qc,quebec
new tecumseth,on,ontario
woodstock,on,ontario
boucherville,qc,quebec
mission,bc,british columbia
vaudreuil-dorion,qc,quebec
brant,on,ontario
lakeshore,on,ontario
innisfil,on,ontario
prince albert,sk,saskatchewan
langford station,bc,british columbia
bradford west gwillimbury,on,ontario
campbell river,bc,british columbia
spruce grove,ab,alberta
moose jaw,sk,saskatchewan
penticton,bc,british columbia
port moody,bc,british columbia
leamington,on,ontario
east kelowna,bc,british columbia
cote-saint-luc,qc,quebec
val-d'or,qc,quebec
owen sound,on,ontario
stratford,on,ontario
lloydminster,sk,saskatchewan
pointe-claire,qc,quebec
orillia,on,ontario
alma,qc,quebec
orangeville,on,ontario
fort erie,on,ontario
lasalle,on,ontario
sainte-julie,qc,quebec
leduc,ab,alberta
north cowichan,bc,british columbia
chambly,qc,quebec
okotoks,ab,alberta
sept-iles,qc,quebec
centre wellington,on,ontario
saint-constant,qc,quebec
grimsby,on,ontario
boisbriand,qc,quebec
conception bay south,nl,newfoundland and labrador
saint-bruno-de-montarville,qc,quebec
sainte-therese,qc,quebec
cochrane,ab,alberta
thetford mines,qc,quebec
courtenay,bc,british columbia
magog,qc,quebec
whitehorse,yt,yukon
woolwich,on,ontario
clarence-rockland,on,ontario
fort saskatchewan,ab,alberta
east gwillimbury,on,ontario
lincoln,on,ontario
la prairie,qc,quebec
tecumseh,on,ontario
mount pearl park,nl,newfoundland and labrador
amherstburg,on,ontario
saint-lambert,qc,quebec
brockville,on,ontario
collingwood,on,ontario
scugog,on,ontario
kingsville,on,ontario
baie-comeau,qc,quebec
paradise,nl,newfoundland and labrador
uxbridge,on,ontario
essa,on,ontario
candiac,qc,quebec
oro-medonte,on,ontario
varennes,qc,quebec
strathroy-caradoc,on,ontario
wasaga beach,on,ontario
new glasgow,ns,nova scotia
wilmot,on,ontario
essex,on,ontario
fort st. john,bc,british columbia
kirkland,qc,quebec
l'assomption,qc,quebec
westmount,qc,quebec
saint-lazare,qc,quebec
chestermere,ab,alberta
huntsville,on,ontario
corner brook,nl,newfoundland and labrador
riverview,nb,new brunswick
lloydminster,ab,alberta
joliette,qc,quebec
yellowknife,nt,northwest territories
squamish,bc,british columbia
mont-royal,qc,quebec
riviere-du-loup,qc,quebec
cobourg,on,ontario
cranbrook,bc,british columbia
beaconsfield,qc,quebec
springwater,on,ontario
dorval,qc,quebec
thorold,on,ontario
camrose,ab,alberta
south frontenac,on,ontario
pitt meadows,bc,british columbia
port colborne,on,ontario
quispamsis,nb,new brunswick
mont-saint-hilaire,qc,quebec
bathurst,nb,new brunswick
saint-augustin-de-desmaures,qc,quebec
oak bay,bc,british columbia
sainte-marthe-sur-le-lac,qc,quebec
salmon arm,bc,british columbia
port alberni,bc,british columbia
esquimalt,bc,british columbia
deux-montagnes,qc,quebec
miramichi,nb,new brunswick
niagara-on-the-lake,on,ontario
saint-lin--laurentides,qc,quebec
beaumont,ab,alberta
middlesex centre,on,ontario
inverness,ns,nova scotia
stony plain,ab,alberta
petawawa,on,ontario
pelham,on,ontario
selwyn,on,ontario
loyalist,on,ontario
midland,on,ontario
colwood,bc,british columbia
central saanich,bc,british columbia
